rating,director,release_year,listed_in,title,country,duration,type,Cluster
4,243,0.6470588235294118,284,6386,80,201,0,2
5,348,0.0,36,6751,80,28,0,0
5,3421,0.0,336,6906,80,8,0,0
4,2816,0.0,20,7178,80,214,0,2
6,1676,0.0,14,7213,79,68,0,0
5,1236,0.5882352941176472,20,7291,80,17,0,0
4,4232,0.0,229,7535,80,215,0,2
4,3263,0.0,229,7536,80,10,0,0
4,2539,0.23529411764705882,184,8477,80,19,0,0
5,4434,0.0,14,3345,80,36,0,0
8,709,1.0,288,8293,80,204,0,2
8,3066,0.8823529411764707,282,8762,52,156,0,2
10,3066,0.9411764705882354,432,2591,52,0,1,1
8,3416,0.23529411764705882,216,53,20,217,0,2
11,3066,0.9411764705882354,421,8097,52,110,1,3
8,3066,0.9411764705882354,307,7876,52,0,1,1
9,3066,0.7058823529411765,393,2132,52,0,1,1
9,3066,0.9411764705882354,303,6567,52,0,1,1
11,3066,0.9411764705882354,124,4112,52,183,0,2
6,3066,0.8823529411764707,328,6184,52,21,0,0
6,3851,1.0,325,7928,29,32,0,0
5,4132,0.7647058823529412,317,8594,79,10,0,0
6,3670,0.23529411764705882,25,1284,29,34,0,0
6,2654,1.0,229,2986,80,212,0,2
8,3066,0.9411764705882354,446,1835,52,110,1,3
6,3771,0.23529411764705882,199,2138,29,35,0,0
8,3066,0.823529411764706,290,2459,52,0,1,1
8,2218,1.0,243,3804,49,0,1,1
6,3170,0.11764705882352944,199,3839,29,44,0,0
6,3747,0.0,46,3863,29,31,0,0
6,315,0.0,331,3868,29,45,0,0
8,3732,0.05882352941176472,218,3889,29,78,0,0
8,4297,0.7058823529411765,216,3890,29,31,0,0
8,3670,0.47058823529411775,216,3891,29,45,0,0
6,972,0.0,220,3893,29,62,0,0
8,1081,0.3529411764705883,318,3918,29,17,0,0
6,369,0.23529411764705882,53,4639,29,24,0,0
6,2881,0.3529411764705883,327,5198,29,42,0,0
6,3066,0.9411764705882354,294,2276,52,0,1,1
9,3066,0.6470588235294118,290,2907,52,0,1,1
9,3066,0.9411764705882354,445,3097,52,0,1,1
9,3066,0.6470588235294118,299,7822,52,0,1,1
6,3066,0.8823529411764707,411,8774,52,0,1,1
9,3066,0.411764705882353,432,2102,52,0,1,1
6,2881,0.5294117647058825,327,5199,29,52,0,0
8,3223,0.411764705882353,349,5687,29,213,0,2
8,532,0.5882352941176472,349,5688,29,18,0,0
8,569,1.0,263,1583,80,0,1,1
8,3066,0.9411764705882354,384,6986,52,0,1,1
